normalized_manufacturer,ticker,country_exchange_code,fuzzy_score,fuzzy_method,source
DEXCOM,DXCM,US,100,exact,original
TANDEM DIABETES CARE,TNDM,US,100,exact,original
INSTITUT STRAUMANN,STMN,CH,100,exact,original
MEDTRONIC PUERTO RICO OPERATIONS,MDT,US,100,exact,original
NOBEL BIOCARE,DHR,US,100,exact,original
CAREFUSION SD,BDX,US,100,exact,original
RESPIRONICS,PHI,NL,100,exact,original
NOBEL BIOCARE GOTEBORG,DHR,US,100,exact,original
ABBOTT DIABETES CARE,ABT,US,100,exact,original
BOSTON SCIENTIFIC,BSX,US,100,exact,original
MEDTRONIC MINIMED,MDT,US,100,exact,original
INSULET,PODD,US,100,exact,original
JJGC,JNJ,US,100,exact,original
DENTSPLY IMPLANTS MANUFACTURING,XRAY,US,100,exact,original
ST JUDE MEDICAL,ABT,US,100,exact,original
MPRI,MDT,US,100,exact,original
NOBEL BIOCARE USA,DHR,US,100,exact,original
INTUITIVE SURGICAL,ISRG,US,100,exact,original
C R BARD,BDX,US,100,exact,original
ABBOTT VASCULAR,ABT,US,100,exact,original
DEPUY ORTHOPAEDICS US,JNJ,US,100,exact,original
ALTATEC,CLTN,CH,100,exact,original
ALLERGAN,ABBV,US,100,exact,original
AIZU OLYMPUS,7733,JP,100,exact,original
ZOLL MANUFACTURING,PRIVATE,PRIVATE,100,exact,original
CAREFUSION 303,BDX,US,100,exact,original
ABBOTT MEDICAL,ABT,US,100,exact,original
SHIRAKAWA OLYMPUS,7733,JP,100,exact,original
MENTOR TEXAS,JNJ,US,100,exact,original
MEDTRONIC,MDT,US,100,exact,original
HOYA PENTAX TOKYO,7741,JP,100,exact,original
SYNTHES,JNJ,US,100,exact,original
UNOMEDICAL A,MDT,US,100,exact,original
ETHICON,JNJ,US,100,exact,original
ETHICON ENDO SURGERY,JNJ,US,100,exact,original
BIOHORIZONS,HSIC,US,100,exact,original
ANTHOGYR,PRIVATE,PRIVATE,100,exact,original
BIOHORIZONS IMPLANT SYSTEMS,HSIC,US,100,exact,original
MEDTRONIC SINGAPORE OPERATIONS,MDT,US,100,exact,original
BECTON DICKINSON AND,BDX,US,100,exact,original
BAXTER HEALTHCARE,BAX,US,100,exact,original
EDWARDS LIFESCIENCES,EW,US,100,exact,original
DEPUY IRELAND,JNJ,US,100,exact,original
ABIOMED,JNJ,US,100,exact,original
DATEX OHMEDA,BAX,US,100,exact,original
THORATEC,ABT,US,100,exact,original
SMITHS MEDICAL ASD,ICUI,US,100,exact,original
PHILIPS MEDICAL SYSTEMS NEDERLAND,PHIA,NL,100,exact,original
BOSTON SCIENTIFIC NEUROMODULATION,BSX,US,100,exact,original
ALCON RESEARCH,ALC,US,100,exact,original
ABBOTT,ABT,US,100,exact,original
BIOTRONIK AND,PRIVATE,PRIVATE,100,exact,original
SMITH AND NEPHEW,SN.,GB,100,exact,original
DATASCOPE,PRIVATE,PRIVATE,100,exact,original
ZIMMER BIOMET,ZBH,US,100,exact,original
MEDTRONIC HEART VALVES,MDT,US,100,exact,original
ARTHREX,PRIVATE,PRIVATE,100,exact,original
COVIDIEN LP NORTH HAVEN,MDT,US,100,exact,original
MEDTRONIC EUROPE,MDT,US,100,exact,original
BECTON DICKINSON,BDX,US,100,exact,original
US SURGICAL,MDT,US,100,exact,original
MEDTRONIC NAVIGATION,MDT,US,100,exact,original
ROCHE DIAGNOSTICS,ROG,CH,100,exact,original
STAAR SURGICAL,ALC,US,100,exact,original
OLYMPUS WINTER AND IBE,7733,JP,100,exact,original
BIOSENSE WEBSTER,JNJ,US,100,exact,original
HEARTWARE,MDT,US,100,exact,original
ARROW INTERNATIONAL,TFX,US,100,exact,original
ZIMMER DENTAL,ZBH,US,100,exact,original
MEDIVANCE 1725056,PRIVATE,PRIVATE,100,exact,original
PHYSIO CONTROL,MDT,US,100,exact,original
HAMILTON MEDICAL,PRIVATE,PRIVATE,100,exact,original
KEYSTONE DENTAL,PRIVATE,PRIVATE,100,exact,original
MEDTRONIC PUERTO RICO VILLALBA,MDT,US,100,exact,original
MIS IMPLANTS TECHNOLOGIES,XRAY,US,100,exact,original
THOMMEN MEDICAL,PRIVATE,PRIVATE,100,exact,original
SISTEMAS MEDICOS ALARIS C V,BDX,US,100,exact,original
STRYKER INSTRUMENTS,SYK,US,100,exact,original
EXACTECH,PRIVATE,PRIVATE,100,exact,original
IMPLANT DIRECT SYBRON MANUFACTURING,PRIVATE,PRIVATE,100,exact,original
DEPUY MITEK US,JNJ,US,100,exact,original
UNOMEDICAL UM,UMC,MY,100,exact,original
MICRO THERAPEUTICS DBA EV3,MDT,US,100,exact,original
ST PAUL,MDT,US,100,exact,original
ROCHE DIABETES CARE,RHHVF,US,100,exact,original
DAVIS AND GECK CARIBE,BDX,US,100,exact,original
GE MEDICAL SYSTEMS,GEHC,US,100,exact,original
UNOMEDICAL DEVICES C V,PRIVATE,PRIVATE,100,exact,original
PHILIPS NORTH AMERICA,PHG,NL,100,exact,original
MEDTRONIC NEUROMODULATION,MDT,US,100,exact,original
MAQUET CRITICAL CARE,GETIB,SE,100,exact,original
W L GORE AND ASSOCIATES,PRIVATE,PRIVATE,100,exact,original
TELEFLEX MEDICAL,TFX,US,100,exact,original
ABBOTT DIAGNOSTICS SCARBOROUGH,ABT,US,100,exact,original
ENCORE MEDICAL L P,PRIVATE,PRIVATE,100,exact,original
BIOMET 3I,ZBH,US,100,exact,original
ERIKA REYNOSA C V,PRIVATE,PRIVATE,100,exact,original
COVIDIEN,MDT,US,100,exact,original
MEDOS INTERNATIONAL,JNJ,US,100,exact,original
DENTSPLY IMPLANTS,XRAY,US,100,exact,original
PALTOP ADVANCED DENTAL SOLUTIONS,PRIVATE,PRIVATE,100,exact,original
ADVANCED BIONICS,SOON,CH,100,exact,original
MEDTRONIC XOMED,MDT,US,100,exact,original
IMPLANT DIRECT SYBRON MANUFACT,XRAY,US,100,exact,original
SIENTRA,SIEN,US,100,exact,original
BARD PERIPHERAL VASCULAR,BDX,US,100,exact,original
COMPANION MEDICAL,NVO,DK,100,exact,original
AOMORI OLYMPUS,7733,JP,100,exact,original
PHILIPS GOLDWAY INDUSTRIAL,PHIA,NL,100,exact,original
BECTON DICKINSON INFUSION THERAPY SYSTEMS,BDX,US,100,exact,original
ICU MEDICAL,ICUI,US,100,exact,original
COLOPLAST A,COLO B,DK,100,exact,original
COVIDIEN MFG DC BOULDER,MDT,US,100,exact,original
OLYMPUS MEDICAL SYSTEMS,7733,JP,100,exact,original
AMO PUERTO RICO MFG,JNJ,US,100,exact,original
STRYKER ORTHOPAEDICS,SYK,US,100,exact,original
ICU MEDICAL MEXICO S R L C V,ICUI,US,100,exact,original
CONCORD MANUFACTURING,PRIVATE,PRIVATE,100,exact,original
COOK,COO,US,100,exact,original
STRYKER,SYK,US,100,exact,original
ADIN DENTAL IMPLANT SYSTEMS,PRIVATE,PRIVATE,100,exact,original
ZIMMER SURGICAL,ZBH,US,100,exact,original
VYAIRE MEDICAL,PRIVATE,PRIVATE,100,exact,original
COCHLEAR,COH,AU,100,exact,original
STRYKER MEDICAL,SYK,US,100,exact,original
BECTON DICKINSON MEDICAL SYSTEMS,BDX,US,100,exact,original
RESMED,RMD,US,100,exact,original
ALLERGAN PLEASANTON,ABBV,US,100,exact,original
MAQUET CARDIOVASCULAR,MDT,US,100,exact,original
QUIDEL,QDEL,US,100,exact,original
ZOLL CIRCULATION,PRIVATE,PRIVATE,100,exact,original
MEDACTA INTERNATIONAL,MOVE,CH,100,exact,original
DEPUY SPINE,JNJ,US,100,exact,original
STRYKER ENDOSCOPY,SYK,US,100,exact,original
DEPUY SYNTHES PRODUCTS,JNJ,US,100,exact,original
MEDTRONIC SOFAMOR DANEK USA,MDT,US,100,exact,original
HILL,BAX,US,100,exact,original
BETA BIONICS,BBNX,US,100,exact,original
TERUMO MEDICAL,4543,JP,100,exact,original
SIEMENS HEALTHCARE DIAGNOSTICS,SHL,DE,100,exact,original
B BRAUN MEDICAL,PRIVATE,PRIVATE,100,exact,original
ALCON LABORATORIES IRELAND,ALC,US,100,exact,original
LIVANOVA USA,LIVN,US,100,exact,original
VENTEC LIFE SYSTEMS,PRIVATE,PRIVATE,100,exact,original
ZOLL MEDICAL,PRIVATE,PRIVATE,100,exact,original
FRESENIUS VIAL S,FSE,DE,100,exact,original
PHILIPS MEDIZIN SYSTEME BOBLINGEN,PHIA,NL,100,exact,original
CONVATEC DOMINICAN REPUBLIC,CTEC,GB,100,exact,original
MEDLINE INDUSTRIES LP,PRIVATE,PRIVATE,100,exact,original
OGDEN MANUFACTURING,FME,DE,100,exact,original
MEDOS INTERNATIONAL RL,MDT,US,100,exact,original
ABBOTT LABORATORIES,ABT,US,100,exact,original
WRIGHT MEDICAL TECHNOLOGY,SYK,US,100,exact,original
SANMINA,SANM,US,100,exact,original
MED,PRIVATE,PRIVATE,100,exact,original
RESPIRONICS CALIFORNIA,PHG,NL,100,exact,original
NEVRO,GMED,US,100,exact,original
GYRUS ACMI,PRIVATE,PRIVATE,100,exact,original
MDT POWERED SURGICAL SOLUTIONS,MDT,US,100,exact,original
PERFUSION SYSTEMS,PRIVATE,PRIVATE,100,exact,original
MMJ CV,MDT,US,100,exact,original
MICROPORT CRM,853,HK,100,exact,original
SENSEONICS,SENS,US,100,exact,original
MOOG MEDICAL DEVICES GROUP,MOG.A,US,100,exact,original
PHILIPS MEDICAL SYSTEMS,PHIA,NL,100,exact,original
HOLOGIC,PRIVATE,PRIVATE,100,exact,original
SMITHS HEALTHCARE MANUFACTURING C V,SMIN,GB,100,exact,original
PRISMATIK DENTALCRAFT,STMN,CH,100,exact,original
MEDTRONIC MEXICO S R L CV,MDT,US,100,exact,original
MEDTRONIC CRYOCATH LP,MDT,US,100,exact,original
ICU MEDICAL COSTA RICA,ICUI,US,100,exact,original
MEDTRONIC MED REL MEDTRONIC,MDT,US,100,exact,original
CORDIS US,PRIVATE,PRIVATE,100,exact,original
MICROVENTION,4552,JP,100,exact,original
BECKMAN COULTER,DHR,US,100,exact,original
DEPUY INTERNATIONAL,JNJ,US,100,exact,original
COOK IRELAND,PRIVATE,PRIVATE,100,exact,original
DAVOL SUB C R BARD,BDX,US,100,exact,original
LUMENIS,BSX,US,100,exact,original
WILSON,PRIVATE,PRIVATE,100,exact,original
FRESENIUS KABI USA,FMS,US,100,exact,original
STRYKER NEUROVASCULAR CORK,SYK,US,100,exact,original
BAXTER INTERNATIONAL,BAX,US,100,exact,original
VANTIVE US HEALTHCARE,BAX,US,100,exact,original
MAQUET CARDIOPULMONARY,MD,US,100,exact,original
TRIVIDIA HEALTH,PRIVATE,PRIVATE,100,exact,original
INSPIRE MEDICAL SYSTEMS,INSP,US,100,exact,original
CORDIS,PRIVATE,PRIVATE,100,exact,original
FISHER AND PAYKEL HEALTHCARE,FPH,NZ,100,exact,original
MAQUET,MDT,US,100,exact,original
ABBVIE,ABBV,US,100,exact,original
BECTON DICKINSON CARIBE,BDX,US,100,exact,original
BD MEDICAL,BDX,US,100,exact,original
APPLIED MEDICAL RESOURCES,PRIVATE,PRIVATE,100,exact,original
KARL STORZ AND,PRIVATE,PRIVATE,100,exact,original
PENUMBRA,PEN,US,100,exact,original
ABBOTT IRELAND DIAGNOSTICS,ABT,US,100,exact,original
ABBOTT MOLECULAR,ABT,US,100,exact,original
DRAGERWERK AND,DRW3,DE,100,exact,original
REMOTE DIAGNOSTIC TECHNOLOGIES,PRIVATE,PRIVATE,100,exact,original
ARTHROCARE,SNN,US,100,exact,original
NORIS MEDICAL,PRIVATE,PRIVATE,100,exact,original
TERUMO CARDIOVASCULAR SYSTEMS,TRUMF,US,100,exact,original
AVANOS MEDICAL,AVNS,US,100,exact,original
DEPUY,JNJ,US,100,exact,original
LIVANOVA,LIVN,US,100,exact,original
BIOTRONIK BUELACH SWITZERLAND,PRIVATE,PRIVATE,100,exact,original
CYBERONICS,LIVN,US,100,exact,original
B BRAUN MELSUNGEN,PRIVATE,PRIVATE,100,exact,original
MEDOS INTERNATIONAL RL CH,MDT,US,100,exact,original
TORNIER,STRY,US,100,exact,original
ZYNO MEDICAL,ZYXI,US,100,exact,original
SMITHS MEDICAL INTERNATIONAL,ICUI,US,100,exact,original
COVIDIEN SURGICAL,MDT,US,100,exact,original
ROCHE MOLECULAR SYSTEMS,RO,CH,100,exact,original
WRIGHTS LANE SYNTHES USA PRODUCTS,JNJ,US,100,exact,original
CARDINAL HEALTH,CAH,US,100,exact,original
BD MEDICAL MEDICAL SURGICAL,BDX,US,100,exact,original
BD INFUSION THERAPY SYSTEMS C V,BDX,US,100,exact,original
TERUMO BCT,TRUMF,US,100,exact,original
BD,BDX,US,100,exact,original
BECTON DICKINSON MEDICAL,BDX,US,100,exact,original
BIOMET UK,ZBH,US,100,exact,original
ORTHO CLINICAL DIAGNOSTICS,QDEL,US,100,exact,original
ANGIOMED AND MEDIZINTECHNIK,PRIVATE,PRIVATE,100,exact,original
CUE HEALTH,HLTH,US,100,exact,original
NIHON KOHDEN,6849,JP,100,exact,original
MERIT MEDICAL SYSTEMS,MMSI,US,100,exact,original
TORNIER S,ZBH,US,100,exact,original
BLUE BELT TECHNOLOGIES,SNN,US,100,exact,original
UNKNOWN,PRIVATE,PRIVATE,100,exact,original
COVIDIEN JUAREZ,MDT,US,100,exact,original
CHRISTOPH MIETHKE AND,PRIVATE,PRIVATE,100,exact,original
ZIMMER ORTHOPAEDIC MFG,ZBH,US,100,exact,original
ACON LABORATORIES,PRIVATE,PRIVATE,100,exact,original
BD SUZHOU,BDX,US,100,exact,original
ACUMED,PRIVATE,PRIVATE,100,exact,original
CARDINAL HEALTH SANTA CLARA,CAH,US,100,exact,original
ZIMMER,ZBH,US,100,exact,original
INFUTRONIX,INFU,US,100,exact,original
ONKOS SURGICAL,PRIVATE,PRIVATE,100,exact,original
COVIDIEN LP,MDT,US,100,exact,original
BECTON DICKINSON IND CIRURGICAS,BDX,US,100,exact,original
OLYMPUS WINTER AND IBE BERLIN,OLYMPUS,JP,100,exact,original
NALU MEDICAL,BSX,US,100,exact,original
GIVEN IMAGING YOQNEAM,PRIVATE,PRIVATE,100,exact,original
FARAPULSE,BSX,US,100,exact,original
OSCOR,ITGR,US,100,exact,original
CARDIOVASCULAR SYSTEMS,ABT,US,100,exact,original
B BRAUN SURGICAL,PRIVATE,PRIVATE,100,exact,original
MAKO SURGICAL,SYK,US,100,exact,original
AESCULAP,PRIVATE,PRIVATE,100,exact,original
CLEARSTREAM TECHNOLOGIES,PRIVATE,PRIVATE,100,exact,original
WAVELIGHT,ALC,US,100,exact,original
PHILIPS ELECTRONICS NEDERLAND,PHIA,NL,100,exact,original
ARGON MEDICAL DEVICES,PRIVATE,PRIVATE,100,exact,original
BAYLIS MEDICAL,BSX,US,100,exact,original
ANGIODYNAMICS,ANGO,US,100,exact,original
QUIDEL DBA ORTHO,QDEL,US,100,exact,original
BOLTON MEDICAL,4543,JP,100,exact,original
COCHLEAR BONE ANCHORED SOLUTIONS,COH,AU,100,exact,original
GLOBUS MEDICAL,GMED,US,100,exact,original
ZIMMER BIOMET SPINE,ZBH,US,100,exact,original
THORATEC SWITZERLAND,MDT,US,100,exact,original
BAUSCH LOMB,BLCO,US,100,exact,original
BIOMET MICROFIXATION,ZBH,US,100,exact,original
BAYER PHARMA,BAYN,DE,100,exact,original
ARJOHUNTLEIGH POLSKA,ARJO,SE,100,exact,original
SALUDA MEDICAL,PRIVATE,PRIVATE,100,exact,original
ESSENTIAL MEDICAL,TFX,US,100,exact,original
NUVASIVE,GMED,US,100,exact,original
MEDTRONIC DOMINICANA,MDT,US,100,exact,original
MALLINCKRODT MEDICAL,PRIVATE,PRIVATE,100,exact,original
TIGER AESTHETICS MEDICAL,PRIVATE,PRIVATE,100,exact,original
ZEST ANCHORS,PRIVATE,PRIVATE,100,exact,original
INTEGRA LIFESCIENCES MANSFIELD,IART,US,100,exact,original
EDWARDS LIFESCIENCES PR,EW,US,100,exact,original
UNK,MDT,US,100,exact,original
LUCIRA HEALTH,PRIVATE,PRIVATE,100,exact,original
PROCEPT BIOROBOTICS,PRCT,US,100,exact,original
Z,ZBH,US,100,exact,original
IRHYTHM TECHNOLOGIES,IRTC,US,100,exact,original
SMITH AND NEPHEW ORTHOPAEDICS,SN.,GB,100,exact,original
AMO MANUFACTURING,JNJ,US,100,exact,original
CARDIOQUIP,PRIVATE,PRIVATE,100,exact,original
ESTABLISHMENT LABS,ESTA,US,100,exact,original
BAYLIS MEDICALE CIE,BSX,US,100,exact,original
SIGN FRACTURE CARE INTERNATIONAL,PRIVATE,PRIVATE,100,exact,original
MDT SOFAMOR DANEK PUERTO RICO MFG,MDT,US,100,exact,original
ZIMMER MANUFACTURING,ZBH,US,100,exact,original
PRINGY,ABBV,US,100,exact,original
KEYMED,PRIVATE,PRIVATE,100,exact,original
PHILIPS ULTRASOUND,PHIA,NL,100,exact,original
K2M,SYK,US,100,exact,original
INTEGRA LIFESCIENCES SWITZERLAND SAR,IART,US,100,exact,original
CAREFUSION,BDX,US,100,exact,original
TERUMO ASHITAKA,6758,JP,100,exact,original
LEMAITRE VASCULAR,LMAT,US,100,exact,original
ASCENSIA DIABETES CARE US,PRIVATE,PRIVATE,100,exact,original
TREACE MEDICAL CONCEPTS,TMCI,US,100,exact,original
STRYKER NEUROVASCULAR UTAH,SYK,US,100,exact,original
HEARTSINE TECHNOLOGIES,S<bos>,US,100,exact,original
K C AFC MANUFACTURING S R L C V,KMB,US,100,exact,original
TOSOH HI TEC,4042,JP,100,exact,original
MASIMO,MASI,US,100,exact,original
LAKE REGION MEDICAL,INTG,US,100,exact,original
CARDINAL HEALTH 200,CAH,US,100,exact,original
VERATHON MEDICAL,ROST,US,100,exact,original
ENDOLOGIX,PRIVATE,PRIVATE,100,exact,original
ZIMMER SWITZERLAND MANUFACTURING,ZBH,US,100,exact,original
RXSIGHT,RXST,US,100,exact,original
CURONIX,PRIVATE,PRIVATE,100,exact,original
SILK ROAD MEDICAL,BSX,US,100,exact,original
BECTON DICKINSON AND BD BIOSCIENCES,BDX,US,100,exact,original
BD RAPIS DIAGNOSTICS,BDX,US,100,exact,original
